sample_id,original_filename,class_name,label,split,relative_reference
TRAIN_00112,"Chahar-Bagh_School-11,_16th_Cent,_Esfahan_-_03-30-2013.jpg",Has Arch,1,train,"has_arch/Chahar-Bagh_School-11,_16th_Cent,_Esfahan_-_03-30-2013.jpg"
TRAIN_00113,خانه_ظهیرالاسلام_2.jpg,Has Arch,1,train,has_arch/خانه_ظهیرالاسلام_2.jpg
TRAIN_00114,1907569.jpg,No Arch,0,train,no_arch/1907569.jpg
TRAIN_00115,Khane_Abbasi_Kashan_Iran_2013-3.jpg,Has Arch,1,train,has_arch/Khane_Abbasi_Kashan_Iran_2013-3.jpg
TRAIN_00116,20180316_183820Ganjali_Khan_Complex.jpg,No Arch,0,train,no_arch/20180316_183820Ganjali_Khan_Complex.jpg
TRAIN_00117,Minaei's_House_-_Tehran-_2014 (1).jpg,No Arch,0,train,no_arch/Minaei's_House_-_Tehran-_2014 (1).jpg
TRAIN_00118,"Mozaffariyeh,_Bazzar_of_Tabriz_in_Iran.jpg",Has Arch,1,train,"has_arch/Mozaffariyeh,_Bazzar_of_Tabriz_in_Iran.jpg"
TRAIN_00119,Golestan_Palace_Album_No._142-14.jpg,Has Arch,1,train,has_arch/Golestan_Palace_Album_No._142-14.jpg
TRAIN_00120,امامزاده_علی_بن_جعفر_قم_03.jpg,No Arch,0,train,no_arch/امامزاده_علی_بن_جعفر_قم_03.jpg
TRAIN_00121,Aras_-_Kordasht_-_Old_Bath_-_panoramio.jpg,Has Arch,1,train,has_arch/Aras_-_Kordasht_-_Old_Bath_-_panoramio.jpg
TRAIN_00122,Qiasieh_school.jpg,Has Arch,1,train,has_arch/Qiasieh_school.jpg
TRAIN_00123,مسجد_جامع_ورامین_خاطره_فهیمی.jpg,Has Arch,1,train,has_arch/مسجد_جامع_ورامین_خاطره_فهیمی.jpg
TRAIN_00124,Googad_castle_017_(cropped).jpg,No Arch,0,train,no_arch/Googad_castle_017_(cropped).jpg
TRAIN_00125,بازار_کرمان_(9).jpg,No Arch,0,train,no_arch/بازار_کرمان_(9).jpg
TRAIN_00126,Fatima_Masumeh_Shrine_Qom_City_Iran_Photographer_Mostafa_Meraji_08.jpg,No Arch,0,train,no_arch/Fatima_Masumeh_Shrine_Qom_City_Iran_Photographer_Mostafa_Meraji_08.jpg
TRAIN_00127,هوا_در_اینجا_خشک_است.jpg,Has Arch,1,train,has_arch/هوا_در_اینجا_خشک_است.jpg
TRAIN_00128,IranKermanFreitagsmoschee1.jpg,Has Arch,1,train,has_arch/IranKermanFreitagsmoschee1.jpg
TRAIN_00129,Jame_mosque_(2060273443).jpg,No Arch,0,train,no_arch/Jame_mosque_(2060273443).jpg
TRAIN_00130,Nowruz_2018_in_Isfahan_(13970106000423636576744441370675_92915).jpg,Has Arch,1,train,has_arch/Nowruz_2018_in_Isfahan_(13970106000423636576744441370675_92915).jpg
TRAIN_00131,Ovlia_Caravanserai_of_Sabzevar_02_(cropped).jpg,No Arch,0,train,no_arch/Ovlia_Caravanserai_of_Sabzevar_02_(cropped).jpg
TRAIN_00132,بازار_شاهرود_در_شب.jpg,Has Arch,1,train,has_arch/بازار_شاهرود_در_شب.jpg
TRAIN_00133,Kondor_Castle.jpg,No Arch,0,train,no_arch/Kondor_Castle.jpg
TRAIN_00134,Nozhan-Residential-Apartment-Shiraz-Maan-Studio---30173.jpg,No Arch,0,train,no_arch/Nozhan-Residential-Apartment-Shiraz-Maan-Studio---30173.jpg
TRAIN_00135,Filsoufodole_anstitute.jpg,Has Arch,1,train,has_arch/Filsoufodole_anstitute.jpg
TRAIN_00136,بقعه_شاهرکن_الدین_نمای_ورودی،_عکس_از_حسین_درآمد.jpg,Has Arch,1,train,has_arch/بقعه_شاهرکن_الدین_نمای_ورودی،_عکس_از_حسین_درآمد.jpg
TRAIN_00137,Qal'eh_Nassir_Caravanserai2017_2.jpg,No Arch,0,train,no_arch/Qal'eh_Nassir_Caravanserai2017_2.jpg
TRAIN_00138,Navid-Pharmacy-Tehran-by-Architecture-Studio--1--30386.jpg,No Arch,0,train,no_arch/Navid-Pharmacy-Tehran-by-Architecture-Studio--1--30386.jpg
TRAIN_00139,IMG-_9139_(1600x1200).jpg,No Arch,0,train,no_arch/IMG-_9139_(1600x1200).jpg
TRAIN_00140,داخل_فضا.jpg,No Arch,0,train,no_arch/داخل_فضا.jpg
TRAIN_00141,Abu_Osman_Maghrebi_Mausoleum_(6).jpg,Has Arch,1,train,has_arch/Abu_Osman_Maghrebi_Mausoleum_(6).jpg
TRAIN_00142,آب_انبار_هفت_بادگیر_عصرآباد_01.jpg,No Arch,0,train,no_arch/آب_انبار_هفت_بادگیر_عصرآباد_01.jpg
TRAIN_00143,Kordan-Brick-House-Kav-Architects-CAOI---23684.jpg,No Arch,0,train,no_arch/Kordan-Brick-House-Kav-Architects-CAOI---23684.jpg
TRAIN_00144,حیاط_مرکزی_کاروانسرای_ینگی_امام.jpg,Has Arch,1,train,has_arch/حیاط_مرکزی_کاروانسرای_ینگی_امام.jpg
TRAIN_00145,عمارت_امین_اسلامی.jpg,No Arch,0,train,no_arch/عمارت_امین_اسلامی.jpg
TRAIN_00146,Mohammadie_gate.jpg,Has Arch,1,train,has_arch/Mohammadie_gate.jpg
TRAIN_00147,Chupan_chu.jpg,No Arch,0,train,no_arch/Chupan_chu.jpg
TRAIN_00148,iranian-residental-building-23487-20.jpg,No Arch,0,train,no_arch/iranian-residental-building-23487-20.jpg
TRAIN_00149,پل_های_تاریخی_کرج_(5).jpg,Has Arch,1,train,has_arch/پل_های_تاریخی_کرج_(5).jpg
TRAIN_00150,عمارت_عالی_قاپو_اصفهان_16.jpg,No Arch,0,train,no_arch/عمارت_عالی_قاپو_اصفهان_16.jpg
TRAIN_00151,Gravesite_of_Muhammad_Jafar_Sabzevari_(1722_-1135_A.H.)-_ارامگاه_ملا_محمد_جعفر_سبزواری_(فوت_1101_ه_ش_1135_ه_ق) (1).jpg,No Arch,0,train,no_arch/Gravesite_of_Muhammad_Jafar_Sabzevari_(1722_-1135_A.H.)-_ارامگاه_ملا_محمد_جعفر_سبزواری_(فوت_1101_ه_ش_1135_ه_ق) (1).jpg
TRAIN_00152,"Isfahán,_Mezquita_del_Shah_(2000)_17.jpg",Has Arch,1,train,"has_arch/Isfahán,_Mezquita_del_Shah_(2000)_17.jpg"
TRAIN_00153,6(50x70).jpg,Has Arch,1,train,has_arch/6(50x70).jpg
TRAIN_00154,1399010915322886120008004_تعطیلی_اماکن_گردشگری_شیراز_در_پی_شیوع_بیماری_کرونا.jpg,Has Arch,1,train,has_arch/1399010915322886120008004_تعطیلی_اماکن_گردشگری_شیراز_در_پی_شیوع_بیماری_کرونا.jpg
TRAIN_00155,"Bazaar_of_Tabriz,_carvaansray.jpg",Has Arch,1,train,"has_arch/Bazaar_of_Tabriz,_carvaansray.jpg"
TRAIN_00156,تخت_فولاد91.jpg,No Arch,0,train,no_arch/تخت_فولاد91.jpg
TRAIN_00157,"Imami_School,_Isfahan.jpg",Has Arch,1,train,"has_arch/Imami_School,_Isfahan.jpg"
TRAIN_00158,مدرسه_گنجعلیخان_کاروان_سرای_گنجعلی_(14).jpg,No Arch,0,train,no_arch/مدرسه_گنجعلیخان_کاروان_سرای_گنجعلی_(14).jpg
TRAIN_00159,Bayazid_Mosque2.jpg,Has Arch,1,train,has_arch/Bayazid_Mosque2.jpg
TRAIN_00160,Miandasht_Caravanserai2023-07-31.jpg,No Arch,0,train,no_arch/Miandasht_Caravanserai2023-07-31.jpg
TRAIN_00161,Joubi_Bridge_Isfahan_Aarash_(8).jpg,Has Arch,1,train,has_arch/Joubi_Bridge_Isfahan_Aarash_(8).jpg
TRAIN_00162,حمام_(5).jpg,Has Arch,1,train,has_arch/حمام_(5).jpg
TRAIN_00163,Imamsquare_31.jpg,Has Arch,1,train,has_arch/Imamsquare_31.jpg
TRAIN_00164,Masjed_Jame_varamin_2.jpg,Has Arch,1,train,has_arch/Masjed_Jame_varamin_2.jpg
TRAIN_00165,Giv-building.jpg,No Arch,0,train,no_arch/Giv-building.jpg
TRAIN_00166,Bazaar_of_Zanjan_13961007_04.jpg,Has Arch,1,train,has_arch/Bazaar_of_Zanjan_13961007_04.jpg
TRAIN_00167,خانه_عباسی_ها_-کاشان-The_Abbasi_House-kashan_07.jpg,Has Arch,1,train,has_arch/خانه_عباسی_ها_-کاشان-The_Abbasi_House-kashan_07.jpg
TRAIN_00168,قلعه_خان_بستک_8.jpg,No Arch,0,train,no_arch/قلعه_خان_بستک_8.jpg
TRAIN_00169,Hakim_Mosque_2019-07-28_27.jpg,Has Arch,1,train,has_arch/Hakim_Mosque_2019-07-28_27.jpg
TRAIN_00170,عصارخانه_زمانیان_نجف_آباد-اصفهان-ایران.jpg,No Arch,0,train,no_arch/عصارخانه_زمانیان_نجف_آباد-اصفهان-ایران.jpg
TRAIN_00171,کاروانسرا_گنجعلی_خان.jpg,Has Arch,1,train,has_arch/کاروانسرا_گنجعلی_خان.jpg
TRAIN_00172,"Abyaneh,_Isfahan_Province,_Iran_-_panoramio_(35).jpg",Has Arch,1,train,"has_arch/Abyaneh,_Isfahan_Province,_Iran_-_panoramio_(35).jpg"
TRAIN_00173,DSC_2550-3.jpg,No Arch,0,train,no_arch/DSC_2550-3.jpg
TRAIN_00174,1399011015184659320013714_تعطیلی_اماکن_گردشگری_و_تاریخی_قزوین_در_پی_شیوع_بیماری_کرونا.jpg,Has Arch,1,train,has_arch/1399011015184659320013714_تعطیلی_اماکن_گردشگری_و_تاریخی_قزوین_در_پی_شیوع_بیماری_کرونا.jpg
TRAIN_00175,درون_خانه_بروجردی_ها.jpg,Has Arch,1,train,has_arch/درون_خانه_بروجردی_ها.jpg
TRAIN_00176,Address-of-Dardash-bath-Isfahan.jpg,No Arch,0,train,no_arch/Address-of-Dardash-bath-Isfahan.jpg
TRAIN_00177,Atigh_Jame'_Mosque_1399021123135739520266904.jpg,Has Arch,1,train,has_arch/Atigh_Jame'_Mosque_1399021123135739520266904.jpg
TRAIN_00178,Kerman.ganjalikhan.by.shivakakavand.jpg,Has Arch,1,train,has_arch/Kerman.ganjalikhan.by.shivakakavand.jpg
TRAIN_00179,Isfahan_Royal_Mosque_minaret.jpg,No Arch,0,train,no_arch/Isfahan_Royal_Mosque_minaret.jpg
TRAIN_00180,Bazaar_of_Tabriz_2020-03-13_04.jpg,Has Arch,1,train,has_arch/Bazaar_of_Tabriz_2020-03-13_04.jpg
TRAIN_00181,Water_reservoir_windcatchers_(21016524126).jpg,No Arch,0,train,no_arch/Water_reservoir_windcatchers_(21016524126).jpg
TRAIN_00182,"Hazireh_Mosque3,_Yazd,_04-03-2013.jpg",No Arch,0,train,"no_arch/Hazireh_Mosque3,_Yazd,_04-03-2013.jpg"
TRAIN_00183,Kheirabad_school_20170327_08.jpg,No Arch,0,train,no_arch/Kheirabad_school_20170327_08.jpg
TRAIN_00184,Qizlar_Korpusi_(2).jpg,Has Arch,1,train,has_arch/Qizlar_Korpusi_(2).jpg
TRAIN_00185,سردر_بازار_قیصریه.jpg,Has Arch,1,train,has_arch/سردر_بازار_قیصریه.jpg
TRAIN_00186,1-47.jpg,Has Arch,1,train,has_arch/1-47.jpg
TRAIN_00187,ارگ_گوگد_ورودی.jpg,Has Arch,1,train,has_arch/ارگ_گوگد_ورودی.jpg
TRAIN_00188,Dehnamak_Caravanserai_2020-01-18_14.jpg,No Arch,0,train,no_arch/Dehnamak_Caravanserai_2020-01-18_14.jpg
TRAIN_00189,"Iran_Bastan_Museum,_National_Museum_of_Iran.jpg",Has Arch,1,train,"has_arch/Iran_Bastan_Museum,_National_Museum_of_Iran.jpg"
